,Startup name,Active (opinion by CMs),Last edited by,Location,HQ,Founded date,Industry (Vertical),Horizontal,Operating status,Funding status,Employees,Founder 1,Founder 2,Founder 3,Founder 4,Founder 5,Unnamed: 16,Website,Social media URLs,Email,Phone,Funding round 1 (Investment),Founder round 1 investors,Funding round 1 date,Funding round 2 (Investment),Founder round 2 investors,Funding round 2 date,Funding round 3 (Investment),Founder round 3 investors,Funding round 3 date,Funding round 4 (Investment),Founder round 4 investors,Funding round 4 date,Funding round 5 (Investment),Founder round 5 investors,Funding round 5 date
70,PakWheels.com,Y,-,Gulberg,Asia-Pacific (APAC),2003-07-18 00:00:00,Automotive,,Active,Early Stage Venture,101-250,-,-,-,-,-,,www.pakwheels.com,,,(042) 111-9433,$3.5M,Frontier Digital Ventures,2014-10-31 00:00:00,,,,,,,,,,,,
71,Proqura,,-,"Lahore,",Asia-Pacific (APAC),2015-03-26 00:00:00,Procurement,,Active,Seed,11 to 50,Haroon Sethi,-,-,-,-,,www.proqura.com,,info@proqura.com,9242110000000,$250K,,,$330K,,2017-12-15 00:00:00,$150K,,2019-12-15 00:00:00,,,,,,
72,Ingrain Media,,-,"Lahore,",Asia-Pacific (APAC),2012,AI,,Active,Seed,1 to 10,"Aamer Zaheer,","Abdul Rehman,","Ali Rehan,","Faraz Hassan,",Murtaza Taj,,ingrain.io,,hello@ingrain.io,(+92) 345.908.6088,$240K,,2014-06-19 00:00:00,$680K,,2015-10-01 00:00:00,,,,,,,,,
73,Inov8 Logo,,-,"Lahore,",Asia-Pacific (APAC),2004,Financial Services,,Active,Early Stage Venture,101-250,Bashir Sheikh,Hasnain Sheikh,-,-,-,,www.inov8.com.pk/,,bts@inov8.com.pk,,$5.4M,Nahyan bin Mubarak Al Nahyan,2015-10-30 00:00:00,,,,,,,,,,,,
74,Mad IT House,,-,Rawalpindi,Asia-Pacific (APAC),2013-05-03 00:00:00,IOT,,Active,Seed,1 to 10,Haseeb Ur Rehman,-,-,-,-,,madithouse.com,,geeks@madithouse.com,(051)426-4139,,,2017-01-25 00:00:00,,,,,,,,,,,,
75,Car Chabi,Y,-,"Lahore,",Asia-Pacific (APAC),2015,IT,,Active,Seed,1 to 10,"Hammad Yasir,",Muhammad Ali Rashid,-,-,-,,carchabi.com/,,info@carchabi.com,,$150K,Treet Group Of Companies,2017-01-27 00:00:00,,,,,,,,,,,,
76,Marham,Y,-,"Lahore,",Asia-Pacific (APAC),2015,"Fitness, Wellness",,Active,Seed,11 to 50,Ehsan Imam,-,-,-,-,,www.marham.pk/,,info@marham.pk,3341006561,,Mohammad Khan,2017-02-03 00:00:00,$5K,Shazil Sultan,2019-02-09 00:00:00,,,,,,,,,
77,Rozee.pk,Y,-,"Lahore,",Asia-Pacific (APAC),2006,Career Planning,,Active,Late Stage Venture,501-1000,Monis Rahman,-,-,-,-,,www.rozee.pk,,,,$6.5M,"Piton Capital, Vostok New Ventures",2015-05-21 00:00:00,,,,,,,,,,,,
78,Naseeb Networks,,-,"Lahore,",Asia-Pacific (APAC),2003,E-commerce,,Active,Late Stage Venture,51-100,Monis Rahman,-,-,-,-,,naseeb.com,,support@naseeb.com,92 42 578 1728,,,2003-12-01 00:00:00,$2M,,2008-02-02 00:00:00,,,2012-04-01 00:00:00,$6.5M,"Piton Capital, Vostok New Ventures",2015-05-21 00:00:00,,,
79,PERKUP,,-,"Karachi,",Asia-Pacific (APAC),2015,Advertising,,Active,Seed,11 to 50,Abdullah Soomro,Hasan Qureshi,-,-,-,,www.perkup.app/,,support@perkup.app,,$140K,,2016-03-26 00:00:00,,,,,,,,,,,,
80,EasyCab,,-,"Lahore,",Asia-Pacific (APAC),2015-12-01 00:00:00,Travel,,Active,Seed,-,-,-,-,-,-,,,,,,,,2016-01-01 00:00:00,,,,,,,,,,,,
81,Shopistan Logo,Y,-,"Lahore,",Asia-Pacific (APAC),2013,E-commerce,,Active,Seed,51-100,Ali Aziz,-,-,-,-,,www.shopistan.pk/,,help@shopistan.pk,#ERROR!,$300K,,2013-12-23 00:00:00,,,,,,,,,,,,
82,Bag Tech,,-,"Sialkot, Pakistan",APAC,2003,Retail,Lifestyle,Active,Seed,-,-,-,-,-,-,,http://www.bagtech.net/,https://twitter.com/bagtech1,info@bagtech.net,,€2.5M,,2003-01-07 00:00:00,€8.3M,Auriga Partners,2005-01-07 00:00:00,€4.8M,Auriga Partners,2006-01-10 00:00:00,CA$3M,,2008-01-07 00:00:00,,,
83,MeriTaleem,,-,"Islamabad,Pakistan",APAC,2013,Education,Education consultancy,Active,Seed,1 to 10,Usama Shahid Khan,,-,-,-,,http://www.meritaleem.com/,https://twitter.com/MeriTaleem,info@meritaleem.com,,,,21-08-14,,,,,,,,,,,,
84,MandiExpress,Y,-,"Karachi,Pakistan",APAC,2015,Retail,"Grocery, food",Active,Seed,101 to 250,Danyaal Balkhi,Jehanzeb Chaudhri,-,-,-,,https://www.mandiexpress.pk/,"https://twitter.com/MandiExpressPK, https://www.facebook.com/mandiexpresspk?_rdc=1&_rdr",,,$725K,Lakson Investments Venture Capital,21-02-20,,,,,,,,,,,,
85,Trellis Housing Finance Limited,,-,"Karachi,Pakistan",APAC,2020-01-01 00:00:00,Fintech,financial services,Active,Seed,1 to 10,Jamshed Meherhomji,Jamshed Meherhomji,Samuel Hjelmfelt,-,-,,http://www.trellisfi.com/,,info@trellisfi.com,,$300K,,2019-01-12 00:00:00,,,,,,,,,,,,
86,PriceMatch,,-,"Lahore, Pakistan",APAC,2012,Retail,Ecommerce,Active,Seed,,,,,-,-,,http://pricematch.pk/,"https://twitter.com/pricematchpk, https://www.facebook.com/pricematch.pk",,,€90K,,13-12-12,,,,,,,,,,,,
87,Tello Talk,Y,-,"Karachi,Pakistan",APAC,2017,Communication,"Mobile App, Software",Active,Seed,11 to 50,,,,-,-,,http://www.tellotalk.com/,"https://www.linkedin.com/company/tello-talk-inc/, https://twitter.com/tellotalk",support@tellotalk.com,,$1.6M,SparkLabs Ventures,2019-02-11 00:00:00,,,2019-01-12 00:00:00,,,,,,,,,
88,Tez Financial Services,Y,-,"Karachi,Pakistan",APAC,2016,Finanacial Services,"Big data, Analytics",Active,Seed,11 to 50,Humza Hussain,Nadeem Hussain,Naureen Hyat,-,-,,http://www.tezfinancialservices.pk/,,info@tezfinancialservices.pk,#ERROR!,$1.1M,Omidyar Network,19-10-18,,,,,,,,,,,,
89,MangoBaaz,Y,-,"Lahore, Pakistan",APAC,2015,Entertainment,"Content, Video production",Active,Seed,11 to 50,Ali Ahsan,,,-,-,,https://www.mangobaaz.com/,"https://www.facebook.com/mangobaaz/, https://twitter.com/mangobaaz",,,$115K,Fatima Ventures,14-12-16,,,,,,,,,,,,
90,Life Circle Health Services,,-,"Hyderabad, Pakistan",APAC,2012,Health-Care,Nursing,Active,Seed,11 to 50,Anant Kumar,Priya Anant,,-,-,,https://www.lifecircle.in/,https://www.facebook.com/LifeCircleSeniorServices,admin@lifecircle.in,4030883788,$150K,,2016-12-05 00:00:00,,,,,,,,,,,,
91,Sukoon,,-,"Karachi,Pakistan",APAC,2014,Services,Ecommerce,Active,Seed,11 to 50,Qazi Umair,Shoaib Iqbal,,-,-,,http://www.sukoon.com.pk/,https://twitter.com/Sukoonofficial,shoaibiqbal@sukoon.com.pk,3357856661,,Crescent Ventures,28-01-16,,,,,,,,,,,,
92,CYKIQ Technologies,Y,-,"Islamabad,Pakistan",APAC,2017,Transport,Sharing economy,Active,Seed,1 to 10,Hamza Afridi,,,-,-,,http://www.cykiq.com/,https://twitter.com/cykiq_official,cykiqhr@gmail.com,923138643033,$50K,,2017-06-06 00:00:00,,,,,,,,,,,,
93,Trukkr,,-,"Karachi,Pakistan",APAC,2019,Logistics,Warehousing,Active,Seed,11 to 50,Hisham Adamjee,Kasra Zunnaiyyer,Mishal Adamjee,-,-,,https://www.trukkr.pk/,https://www.facebook.com/Trukkr/,info@trukkr.pk,923330861030,,,2019-01-07 00:00:00,,,,,,,,,,,,
94,MeraPlan,,-,"Islamabad,Pakistan",APAC,2016,Travel,Tourism,Active,Seed,11 to 50,Ashar Jamil,Danish Fayaz,,-,-,,http://meraplan.com/,https://www.facebook.com/meraplan,info@meraplan.com,,$10K,,2015-01-02 00:00:00,,,,,,,,,,,,
95,Inaaya,,-,"Karachi,Pakistan",APAC,2012,Retail,Fashion,Active,Seed,,Naushaba Brohi,,,-,-,,http://inaayaonline.com/,"http://twitter.com/InaayaOnline, http://www.facebook.com/inaayaonline",online@inaayaonline.com,,,,21-08-14,,,,,,,,,,,,
96,Eat Mubarak,Y,Yusuf Jan,"Karachi,Pakistan",APAC,2018,Services,"Ecommerce , online Delivery",Active,Seed,11 to 50,Ahmed Alvi,Hyder Abbas,Mian Ahmad,Syed Ali,"Taha Anis, Yusuf Jan",,https://www.eatmubarak.pk/,"https://www.facebook.com/eatmubarak.pk/ , https://twitter.com/EatMubarak_Pk",yusuf.jan@eatmubarak.pk,,$500K,Yusuf Jan,2018-01-11 00:00:00,$700K,Karavan,2019-01-02 00:00:00,Undisclosed,Dmitry Shurygin,2019-09-09 00:00:00,Undisclosed,"MOX, SOSV",2019-02-12 00:00:00,,,
97,AutoSahulat,,-,"Lahore, Pakistan",APAC,2018,Support,"Marketplace, Automotive",Active,Seed,1 to 10,Ghazanfar Iqbal,Mohsin Amjad,,-,-,,https://www.autosahulat.com/,https://www.facebook.com/autosahulat/,info@autosahulat.com,923427248528,$100K,Antler,2018-05-09 00:00:00,,,,,,,,,,,,
98,Freight Express International,,-,"Karachi,Pakistan",APAC,,Logistics,"Delivery, Freight",Active,Early Stage,,,,,-,-,,www.freightex.com.pk/index.html,,,#ERROR!,,Inaara Impact Ventures,28-05-19,,,,,,,,,,,,
99,Patari,Y,-,"Lahore, Pakistan",APAC,2015,Entertainment,Music Streaming,Active,Seed,11 to 50,Faisal Sherjan,Humayun Haroon,"Iqbal Talaat, Khalid Bajwa",-,-,,http://patari.pk/,https://www.facebook.com/patarimusic,,,$200K,Sarmayacar,30-12-16,,,,,,,,,,,,
100,Baseh Technologies,,-,"Karachi,Pakistan",APAC,2017,Information Technology,Artificial Intelligence,Active,Seed,11 to 50,Anis Shiekh,-,-,-,-,,http://www.base-h.com/,"https://www.facebook.com/AIwriting/ , https://www.linkedin.com/company/ai-writing/",dante@base-h.com,,,Elahi Group of Companies,29-01-19,,,,,,,,,,,,
101,MediaTok,,-,"Islamabad,Pakistan",APAC,2019,Digital Media,"Publishing, News",Active,Seed,1 to 10,Fahad Waheed Khan,-,-,-,-,,https://mediatok.pk/,https://www.facebook.com/mediatokPK/,hi@mediatok.pk,,,,20-03-20,,,,,,,,,,,,
102,Cheetay,Y,-,"Lahore, Pakistan",APAC,2016,Logistics,"Delivery, Ecommerce",Active,Early Stage,501 to 1000,Ahmed Khan,-,-,-,-,,https://www.cheetay.pk/,"https://www.facebook.com/cheetay.pk , https://www.linkedin.com/company/cheetay-logistics-pvt--ltd-/",info@cheetay.pk,042-111-119-666,$7.8M,,2019-11-09 00:00:00,$1.1M,,2017-01-11 00:00:00,$900K,,2016-05-12 00:00:00,,,,,,
103,Tajir,Y,-,"Lahore, Pakistan",APAC,2018,Retail,"B2B, Ecommerce, Marketplace",Active,Seed,11 to 50,Babar Khan,Ismail Khan,-,-,-,,https://www.tajir-app.com/,https://www.linkedin.com/company/tajir-app/,,,$150K,"Y Combinator , Matt Caspari",15-03-20,$1.8M,"Fatima Gobi Ventures, Golden Gate, Pioneer Fund, Karavan, VentureSouq",2020-05-06 00:00:00,,,,,,,,,
104,The Nest I/O,,-,Karachi,Asia-Pacific,2014,"Incubator, Information Technology",Information Services,Active,Seed,11 to 50,Jehan Ara,-,-,-,-,,http://thenestio.com/,"https://www.linkedin.com/company/the-nest-i-o, https://www.facebook.com/thenestio, https://twitter.com/thenestio",info@thenestio.com,092-21-34144796,PKR 5M,-,2017-05-30 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-
105,PakVitae,Y,Kaleem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Ali Khursheed,Y,Kaleem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Vceela (27.5 M PKR),,Kaleem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Trashmasti (2.5 M PKR),,Kaleem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Agrimart (10 M PKR),,Kaleem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Aerocraft engine ($200K),,Kaleem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Markhor,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Zameen,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
